,Number,Song,Artist
0,1,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
1,2,Ordinary,Alex Warren
2,3,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee"
3,4,What I Want,Morgan Wallen Featuring Tate McRae
4,5,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee"
5,6,Manchild,Sabrina Carpenter
6,7,Lose Control,Teddy Swims
7,8,Daisies,Justin Bieber
8,9,Love Me Not,Ravyn Lenae
9,10,Die With A Smile,Lady Gaga & Bruno Mars
10,11,I Got Better,Morgan Wallen
11,12,Mutt,Leon Thomas
12,13,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
13,14,Beautiful Things,Benson Boone
14,15,A Bar Song (Tipsy),Shaboozey
15,16,Undressed,sombr
16,17,Tears,Sabrina Carpenter
17,18,Just In Case,Morgan Wallen
18,19,Pink Pony Club,Chappell Roan
19,20,Good News,Shaboozey
20,21,What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
21,22,Folded,Kehlani
22,23,Back To Friends,sombr
23,24,I'm The Problem,Morgan Wallen
24,25,Man I Need,Olivia Dean
25,26,Safe,Cardi B Featuring Kehlani
26,27,Mystical Magical,Benson Boone
27,28,Luther,Kendrick Lamar & SZA
28,29,Takedown,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
29,30,Free,"Rumi, JINU, EJAE & Andrew Choi"
30,31,It Depends,Chris Brown Featuring Bryson Tiller
31,32,When Did You Get Hot?,Sabrina Carpenter
32,33,Bottle Rockets,Scotty McCreery & Hootie & The Blowfish
33,34,Burning Blue,Mariah the Scientist
34,35,Yukon,Justin Bieber
35,36,All The Way,BigXthaPlug Featuring Bailey Zimmerman
36,37,Magnet,Cardi B
37,38,Romantic Homicide,d4vd
38,39,Sorry I'm Here For Someone Else,Benson Boone
39,40,Happen To Me,Russell Dickerson
40,41,No Broke Boys,Disco Lines & Tinashe
41,42,Outside,Cardi B
42,43,Pretty & Petty,Cardi B
43,44,Bar None,Jordan Davis
44,45,Pick It Up,Cardi B Featuring Selena Gomez
45,46,Hello,Cardi B
46,47,Dead,Cardi B Featuring Summer Walker
47,48,12 To 12,sombr
48,49,Hell At Night,BigXthaPlug Featuring Ella Langley
49,50,Worst Way,Riley Green
50,51,Nobody's Son,Sabrina Carpenter
51,52,Revolving Door,Tate McRae
52,53,Bodega Baddie,Cardi B
53,54,Back In The Saddle,Luke Combs
54,55,Sugar On My Tongue,"Tyler, the Creator"
55,56,Gabriela,KATSEYE
56,57,Jealous Type,Doja Cat
57,58,House Again,Hudson Westbrook
58,59,Somewhere Over Laredo,Lainey Wilson
59,60,The Dead Dance,Lady Gaga
60,61,Wildflower,Billie Eilish
61,62,6 Months Later,Megan Moroney
62,63,What's Goin On,Cardi B Featuring Lizzo
63,64,Heart Of Stone,Jelly Roll
64,65,ErrTime,Cardi B
65,66,Imaginary Playerz,Cardi B
66,67,Just Keep Watching,Tate McRae
67,68,Takedown,"JEONGYEON, JIHYO & CHAEYOUNG Of TWICE"
68,69,Strategy,Twice
69,70,Man Of Your Word,Cardi B Featuring Dougie F
70,71,House Tour,Sabrina Carpenter
71,72,Better Me For You (Brown Eyes),Max McNown
72,73,Salute,Cardi B
73,74,Last One To Know,Gavin Adcock
74,75,The Subway,Chappell Roan
75,76,wgft,Gunna Featuring Burna Boy
76,77,Amen,Shaboozey & Jelly Roll
77,78,Eternity,Alex Warren
78,79,Don't Mind If I Do,Riley Green Featuring Ella Langley
79,80,Marlboro Rojo,Fuerza Regida
80,81,Shower Tears,Cardi B Featuring Summer Walker
81,82,Nice To Meet You,Myles Smith
82,83,Is It A Crime,Mariah the Scientist & Kali Uchis
83,84,Shot Callin,YoungBoy Never Broke Again
84,85,Better Than You,Cardi B Featuring Cash Cobain
85,86,Sparks,Coldplay
86,87,Sienna,The Marias
87,88,Go Go Juice,Sabrina Carpenter
88,89,Breakin' Dishes,Rihanna
89,90,Holy Water,Marshmello x Jelly Roll
90,91,20 Cigarettes,Morgan Wallen
91,92,Principal,Cardi B Featuring Janet Jackson
92,93,Camera,Ed Sheeran
93,94,Sugar Talking,Sabrina Carpenter
94,95,My Man On Willpower,Sabrina Carpenter
95,96,Which One,Drake & Central Cee
96,97,Goodbye,Sabrina Carpenter
97,98,Darlin',Chase Matthew
98,99,Went Legit,G Herbo
99,100,What Did I Miss?,Drake
